,Name,Explanation,Action,Commonly known as,Abbrevations,See also,
,Hormone Replacement Therapy,,"Must not donate if:
a)        A recipient of human gonadotrophin of pituitary origin
b)        A recipient of human pituitary growth hormone
Accept if:
a)        Treated with gonadotrophins that were exclusively non-pituitary derived (post 1987)
b)        Treated with growth hormone that was exclusively recombinant (post 1987)
",,"HRT
ERT
","Prion Associated Diseases
Thyroid Disease
",
,HTLV Infection,"The Human T-lymphotropic virus Type I (HTLV-1) is a human RNA retrovirus that is known to cause adult T-cell leukemia and lymphoma, and a demyelinating disease called HTLV-I associated myelopathy/Tropical spastic paraparesis (HAM/TSP).
HTLV-I and HTLV-II are sexually transmitted.
The transmission of HTLV by lymphocyte cells is valid for blood donations, but uncertain for tissues and cells and the prevalence outside of Japanese populations is insignificant. Therefore HTLV-1 & 2 testing is most often only required for the donation of leucocyte rich tissues.
",Must not donate,T-Cell Luekemia,"HTLV, HAM/TSP",,
,Huntington Disease,"Huntington's disease (HD) is a neurodegenerative genetic disorder that affects muscle coordination and leads to cognitive decline and psychiatric problems. It typically becomes noticeable in mid-adult life. HD is the most common genetic cause of abnormal involuntary writhing movements called chorea, which is why the disease used to be called Huntington's chorea",Accept If the diagnosis can be confirmed,,HD,,
,Hyperthyroidism,,,,,Thyroid Disease,
,Hypothyroidism,,,,,Thyroid Disease,
,Immune Thrombocytopenia Pupura (Idiopathic Thrombocytopenia Pupura (ITP)):,"Idiopathic thrombocytopenic purpura (ITP), also known as primary immune thrombocytopenic purpura and autoimmune thrombocytopenic purpura, is defined as isolated low platelet count (thrombocytopenia) with normal bone marrow and the absence of other causes of thrombocytopenia.
ITP is an autoimmune condition with antibodies detectable against several platelet surface antigens. The cause of ITP is unknown, but viral infections might make the immune system malfunction and start producing the ‘rogue’ antibodies. There are two broad categories of ITP: one that usually goes away by itself with time (usually in childhood), and the other that lingers beyond six months (more often in adults). ITP is more common among children than adults, most often occurring around two to four years of age, affecting boys and girls equally. Among adults, young women are more likely to develop ITP than any other group, for reasons unknown.
ITP symptoms can include any of the following:
Abnormally heavy periods in women
Bleeding into the skin, often around the shins, causing a skin rash that looks like pinpoint red spots (petechial rash)
Easy bruising
Nosebleed or bleeding in the mouth
Caution in acceptance is due to diagnosis being dependant on the exclusion of other causes of a low platelet count – including leukaemia, myelodysplastic syndromes and pre-neoplastic states i.e. there is a high potential for misdiagnosis. These recommendations are that of United Kingdom Tissue Donor Selection Guidelines
","Must not donate if:
a)        Symptomatic
b)        Chronic
c)        Recovered but less the 5 years from recovery
",,ITP,"If treated with immunoglobulin or plasma exchange:
Transfusion
If treated with immunosuppressive therapy:
Immunosuppression
",
,Immunisation – Live,"Live immunisations use living viruses or living bacteria that will stimulate the immune system but do not normally cause a severe illness. They may however cause severe illness in people who are already unwell and have a weakened immune system. By four weeks, any infection caused by the immunisation should have been controlled and so should not be passed on through donated material.
The following live vaccines are currently in use in Australia and New Zealand:

Live attenuated parenteral vaccines        Live attenuated oral vaccines
Viral        Bacterial        Viral        Bacterial
Japanese encephalitis
(Imojev)
Measles-mumps rubella
(MMR)
Measles-mumps rubella-
varicella
(MMRV)
Varicella
Yellow fever
Zoster        BCG        Oral rotavirus vaccine        Oral typhoid vaccine



","Live attenuated bacteria or viruses
Must not donate if less than four weeks from vaccination (note for smallpox vaccination the exclusion period is 8 weeks)
The TGA mandates the exclusion times listed

",,,"BCG
Smallpox Immunisation",
,Immunisation – Non-Live,"“Non-live” immunisations do not use material that can cause infection. The means there is no risk to people receiving blood or tissues from a recently immunised donor.
NOTE: Assays for HBsAg may be positive following recent immunisation. Full screening for Hepatitis B may be required.
",Accept non-live immunisations,,,,
,Immunosuppression,"A dose greater than 30 mg/day prednisolone may be immunosuppressive and theoretically could have an impact on serological tests for antibodies to markers of transmissible disease. Assays which directly detect the virus are not affected adversely by immunosuppression and are appropriate in this situation.
Other corticosteroids equivalent to 30 mg Prednisolone:
Betamethasone (4.5 mg)
Cortisone acetate (150 mg)
Deflazacort (36 mg)
Dexamethasone (4.5 mg)
Hydrocortisone (120 mg)
Methylprednisolone (24 mg)
Triamcinolone (24 mg)
","Accept only if NAT HIV, HBV and HCV testing is performed if on long-term corticosteroids equivalent to >30 mg/day Prednisolone (see Additional information) or lower doses in combination with immunosuppressant drugs such as Azathioprine or Mycophenolate.
Accept if on the equivalent of >30 mg/day Prednisolone for not more than two weeks within the 6 months before death (For potential eye donors with a history of malignancy who are on chemotherapy, or autoimmune disease who are on immunosuppressive therapy this is a likely scenario) 
",,,"Autoimmune Disorders
Steroid Therapy
Tissue and Organ Recipients
",
,Infection – Acute,"Potential donors who have been cared for in an ICU may have a local chest infection as a result of ventilation – acceptable
Donors who have bacterial pneumonia are acceptable as eye donors but would not be acceptable for other tissues
Donors who have had a positive screening test for MRSA (carriers) are acceptable. Donors with active MRSA infection at the time of death should be referred to the Medical Director for opinion.
","See if there is a specific entry for the disease you are concerned about. Consider if the infection was systemic (eg. septicaemia, viraemia), or localised and unlikely to have affected the cornea or eyes.
Accept if caused by bacterial infection and the corneas are to be stored by organ culture.
Accept if the clinician caring for the potential donor thinks that therapy given for an infection has successfully cleared it.
Accept if the infection was not considered systemic (e.g. not septicaemia, not viraemia), but localised and not likely to affect the eyes.
NB. For some disease states the infective agent can persist in the body for quite some time after the signs and symptoms of infection have ceased or when the infection is considered to be resolved. Check deferral times for disease after the infection has resolved (e.g. Ebola is 12 months deferral after resolution of the infection) 
",,,"Congo Fever
Crimean Fever
Dengue Fever
Ebola Fever
Herpes- Genital
Herpes Oral
Lassa Fever
Marburg Fever
MRSA
Steroid Therapy
West Nile Virus
",
,Infection – Chronic,Typhoid and paratyphoid are gastrointestinal infections which rarely have a chronic carrier state. It is usually caught while travelling overseas and passed by the faecal-oral route and is not transfusion transmitted,"See if there is a specific entry for the disease you are concerned about. Consider if the infection was systemic, or localised and unlikely to have affected the cornea or eyes.
Accept
1.        Acne – Secondary infection of the lid margin (blepharitis) on its own should not preclude eye donation, but donations must not be taken if there is also ocular surface disease.
2.        Chronic superficial fungal infections
3.        Typhoid and Paratyphoid – if more than 7 days from completion of antibiotic course and last symptoms
4.        If caused by bacterial infection and the corneas are to be stored by organ culture
",,,"Acne
 Steroid Therapy",
